Submitted Data,Passed Quality Assurance Check,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Number of Residents with New Influenza,Number of Residents with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,During Past Two Weeks Average Time to Receive COVID-19 Test Results from Non-Point-of-Care Tests,Number of Staff and/or Personnel with a New Positive COVID-19 Test Result,Number of Staff and/or Personnel with Acute Respiratory Illness Symptoms Excluding COVID-19 and/or Influenza,Alcohol-Based Hand Rub (ABHR) Available,N95 Respirator Strategy for Optimization,Face Masks Strategy for Optimization,Eye Protection Strategy for Optimization,Gowns Strategy for Optimization,Gloves Strategy for Optimization,
Y,Y,2,65,25,2,109,62,Y,Y,6,40,60,0,N,N,N,N,1048.39,32.26,3.08,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,83,99,8,222,138,Y,Y,18,220,97,1,N,N,N,N,601.45,57.97,9.64,0,1,1-2 DAYS,0,2,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,80,21,9,154,104,Y,Y,10,64,102,3,Y,Y,Y,Y,769.23,86.54,11.25,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,67,24,4,78,72,Y,Y,0,25,47,0,N,N,N,N,930.56,55.56,5.97,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,69,26,8,129,106,Y,Y,206,131,54,0,Y,N,Y,Y,650.94,75.47,11.59,0,1,NOTEST,0,1,Y,CRISIS,CONTINGENCY,CRISIS,CONTINGENCY,CONVENTIONAL,
Y,Y,1,4,6,0,105,59,Y,Y,0,37,18,0,N,N,N,N,67.8,0,0,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,14,91,21,16,138,71,Y,Y,NA,NA,38,0,Y,N,Y,Y,1281.69,225.35,17.58,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,114,28,3,NA,NA,NA,NA,NA,NA,102,0,N,N,N,N,NA,NA,2.63,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Y,Y,35,35,16,11,64,47,Y,Y,0,35,18,0,N,N,N,N,744.68,234.04,31.43,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,5,67,55,22,103,69,Y,Y,0,0,74,0,N,N,N,N,971.01,318.84,32.84,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,80,27,0,113,104,Y,Y,0,1,42,0,N,N,N,N,769.23,0,0,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,2,17,0,95,70,Y,Y,59,310,17,0,N,N,N,N,28.57,0,0,0,1,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,11,28,62,2,117,63,Y,Y,0,5,24,0,Y,N,Y,N,444.44,31.75,7.14,0,0,NOTEST,0,0,Y,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,
Y,Y,0,38,21,1,79,65,Y,Y,0,0,44,0,Y,N,Y,N,584.62,15.38,2.63,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,8,86,33,17,82,60,Y,Y,2,40,110,0,N,N,N,N,1433.33,283.33,19.77,0,1,<1 DAY,0,1,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,32,6,4,66,46,Y,Y,1,0,46,0,N,N,N,N,695.65,86.96,12.5,0,0,1-2 DAYS,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,22,55,49,21,100,97,Y,Y,NA,NA,67,0,N,N,N,N,567.01,216.49,38.18,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,0,82,53,2,162,120,Y,Y,0,6,80,0,N,N,N,N,683.33,16.67,2.44,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,2,12,15,0,63,53,Y,Y,1,60,19,0,N,N,N,N,226.42,0,0,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,9,42,30,1,103,76,Y,Y,1,39,53,0,N,N,N,N,552.63,13.16,2.38,0,0,<1 DAY,0,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,
Y,Y,1,34,17,4,50,37,Y,Y,0,67,38,0,Y,N,Y,N,918.92,108.11,11.76,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,42,32,69,4,208,192,Y,Y,5,0,33,0,N,N,N,N,166.67,20.83,12.5,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,3,101,125,39,216,140,Y,Y,0,65,94,0,N,N,N,N,721.43,278.57,38.61,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,29,115,115,14,260,190,Y,Y,214,117,117,0,N,N,N,N,605.26,73.68,12.17,0,0,3-7 DAYS,0,0,Y,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,6,53,47,8,111,86,Y,Y,0,83,38,0,N,N,N,N,616.28,93.02,15.09,0,0,NOTEST,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
Y,Y,43,82,38,26,103,83,Y,Y,75,69,75,0,Y,N,Y,N,987.95,313.25,31.71,0,0,<1 DAY,0,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,
