SD,PQA,RTA,NB,OB,CTR,CTS,TR,TS,STC,STD,SN,SC,SA,SO,RCR,RDR,NRNI,NRAR,ATT,NSRA,ABHR,N95RS,FMS,EPS,GS,GLS
Y,Y,2,98,48,Y,Y,0,92,29,2,N,N,N,N,625,125,0,0,<1 DAY,0,Y,CONVENTIONAL,CONTINGENCY,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,16,116,89,Y,Y,5,427,45,0,N,N,N,N,797.75,112.36,0,2,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,21,97,69,Y,Y,2,14,55,0,N,N,N,N,637.68,101.45,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,111,70,Y,Y,NA,NA,56,0,N,N,N,N,985.71,0,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,85,54,Y,Y,0,19,20,0,N,N,Y,N,444.44,0,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,0,101,87,Y,Y,0,63,56,0,N,N,N,N,931.03,137.93,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,81,182,128,Y,Y,NA,NA,54,1,N,N,N,N,679.69,226.56,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,2,198,145,Y,Y,0,75,45,0,N,N,N,N,572.41,48.28,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,107,132,105,Y,Y,94,29,56,0,N,N,N,N,1085.71,209.52,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,125,92,Y,Y,16,28,68,0,N,N,N,N,1086.96,54.35,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL,CONVENTIONAL
Y,Y,20,87,86,Y,Y,0,44,57,0,N,N,N,N,651.16,232.56,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,4,71,52,Y,Y,21,49,14,0,N,N,N,N,692.31,153.85,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,11,96,75,Y,Y,5,157,68,0,Y,N,N,N,533.33,173.33,0,1,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,16,170,79,Y,Y,0,36,40,0,Y,N,N,N,708.86,25.32,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,18,170,125,Y,Y,15,115,124,0,Y,N,Y,N,704,184,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,37,117,96,Y,Y,NA,NA,75,0,N,N,N,N,906.25,177.08,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,9,122,89,Y,Y,3,122,83,0,N,N,N,N,730.34,78.65,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,8,148,111,Y,Y,0,97,144,0,N,N,N,N,1243.24,414.41,0,0,NOTEST,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,123,88,Y,Y,0,78,81,1,Y,N,Y,Y,1090.91,227.27,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,17,97,43,Y,Y,6,298,61,0,N,N,N,N,953.49,116.28,0,4,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,7,71,58,Y,Y,0,0,68,1,Y,N,Y,Y,1155.17,51.72,0,0,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CRISIS,CONVENTIONAL
Y,Y,17,120,105,Y,Y,11,72,104,2,N,N,N,N,1142.86,209.52,0,0,<1 DAY,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
Y,Y,15,149,133,Y,Y,0,118,53,0,Y,N,Y,N,383.46,82.71,0,0,NOTEST,0,Y,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONTINGENCY,CONVENTIONAL
Y,Y,233,234,183,Y,Y,3,300,102,2,N,N,N,N,715.85,43.72,0,1,1-2 DAYS,0,Y,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL,CONVENTIONAL
